,model,classifier,fit_time,score_time,test_accuracy,train_accuracy,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_f1_macro,train_f1_macro,test_precision_micro,train_precision_micro,test_recall_micro,train_recall_micro,test_f1_micro,train_f1_micro,test_precision_weighted,train_precision_weighted,test_recall_weighted,train_recall_weighted,test_f1_weighted,train_f1_weighted,test_matthews_corrcoef,train_matthews_corrcoef,test_cm_00,train_cm_00,test_cm_01,train_cm_01,test_cm_02,train_cm_02,test_cm_03,train_cm_03,test_cm_04,train_cm_04,test_cm_05,train_cm_05,test_cm_06,train_cm_06,test_cm_10,train_cm_10,test_cm_11,train_cm_11,test_cm_12,train_cm_12,test_cm_13,train_cm_13,test_cm_14,train_cm_14,test_cm_15,train_cm_15,test_cm_16,train_cm_16,test_cm_20,train_cm_20,test_cm_21,train_cm_21,test_cm_22,train_cm_22,test_cm_23,train_cm_23,test_cm_24,train_cm_24,test_cm_25,train_cm_25,test_cm_26,train_cm_26,test_cm_30,train_cm_30,test_cm_31,train_cm_31,test_cm_32,train_cm_32,test_cm_33,train_cm_33,test_cm_34,train_cm_34,test_cm_35,train_cm_35,test_cm_36,train_cm_36,test_cm_40,train_cm_40,test_cm_41,train_cm_41,test_cm_42,train_cm_42,test_cm_43,train_cm_43,test_cm_44,train_cm_44,test_cm_45,train_cm_45,test_cm_46,train_cm_46,test_cm_50,train_cm_50,test_cm_51,train_cm_51,test_cm_52,train_cm_52,test_cm_53,train_cm_53,test_cm_54,train_cm_54,test_cm_55,train_cm_55,test_cm_56,train_cm_56,test_cm_60,train_cm_60,test_cm_61,train_cm_61,test_cm_62,train_cm_62,test_cm_63,train_cm_63,test_cm_64,train_cm_64,test_cm_65,train_cm_65,test_cm_66,train_cm_66
mean,InceptionResNetV2,Bayes,0.49593677520751955,1.8139060020446778,0.6323514892547415,0.6357464223204016,0.3485367489366653,0.34546620637907044,0.234833172448548,0.24545020620093902,0.23304153146902018,0.24508568295366512,0.6323514892547415,0.6357464223204016,0.6323514892547415,0.6357464223204016,0.6323514892547415,0.6357464223204016,0.5918106913016149,0.5955834579555757,0.6323514892547415,0.6357464223204016,0.5934328136581277,0.59759511140906,0.20574897532338549,0.21361816527525837,20.0,84.0,1.6,5.2,6.0,23.0,1.4,3.2,2.4,9.6,34.0,135.8,0.0,0.8,18.4,72.8,4.0,16.2,10.6,40.2,0.8,2.6,8.0,33.0,60.4,243.8,0.6,2.6,37.6,145.4,1.8,8.2,24.6,109.6,0.8,3.0,23.4,89.8,130.4,517.4,1.2,5.8,3.2,13.0,0.2,0.2,3.0,10.8,0.6,4.2,1.8,6.2,14.2,57.6,0.0,0.0,26.0,106.0,1.6,5.2,10.8,42.0,0.4,1.2,41.8,171.2,140.8,559.8,1.2,5.0,74.2,290.2,6.2,25.0,27.6,116.2,0.8,3.6,57.4,224.8,1172.8,4694.8,2.0,9.4,0.0,0.0,0.0,0.0,1.0,3.4,0.0,0.0,1.2,4.6,23.4,92.0,2.8,13.6
std,InceptionResNetV2,Bayes,0.09820935013312716,0.18499682249055624,0.0054233088163210385,0.0009619636003449592,0.06630921968504987,0.012748578747832326,0.012085177754023027,0.007143100203015939,0.014665277189477735,0.008851272607044347,0.0054233088163210385,0.0009619636003449592,0.0054233088163210385,0.0009619636003449592,0.0054233088163210385,0.0009619636003449592,0.0072393810150305,0.0028358541968005117,0.0054233088163210385,0.0009619636003449592,0.004684161115139646,0.001933736128276051,0.008364929794622574,0.0033448168775700206,3.3466401061363023,2.6076809620810595,1.4966629547095767,1.469693845669907,2.0976176963403033,3.521363372331802,2.8,2.5612496949731396,1.3564659966250538,1.0198039027185568,2.6832815729997477,2.4,0.0,0.4,2.33238075793812,2.993325909419153,1.0954451150103321,1.16619037896906,1.8547236990991407,9.19565114605812,0.9797958971132712,1.4966629547095767,4.147288270665544,6.899275324264136,5.571355310873648,4.578209256903839,0.48989794855663565,0.4898979485566356,7.172168430816443,4.454211490264018,0.7483314773547883,4.1182520563948,5.161395160225576,16.930445948054647,1.16619037896906,2.898275349237888,7.337574531137657,12.749901960407382,3.9799497484264803,4.963869458396343,0.7483314773547883,1.469693845669907,1.16619037896906,0.6324555320336759,0.4000000000000001,0.4,1.4142135623730951,2.1354156504062622,0.48989794855663565,2.925747767665559,1.7204650534085255,1.6,1.6,2.3323807579381204,0.0,0.0,7.483314773547883,7.402702209328699,1.0198039027185568,2.039607805437114,3.655133376499413,7.37563556583431,0.4898979485566356,1.1661903789690602,2.925747767665559,7.467261881037788,7.386474125047756,7.110555533852471,0.7483314773547883,0.8944271909999159,9.826494797230596,15.471263684650973,1.9390719429665317,5.0990195135927845,6.974238309665077,18.345571672749802,1.16619037896906,3.2,5.953150426454887,17.302023003105734,5.2687759489277965,7.520638270785266,0.6324555320336759,2.33238075793812,0.0,0.0,0.0,0.0,0.6324555320336759,1.624807680927192,0.0,0.0,0.7483314773547883,0.8,0.4898979485566356,3.7416573867739413,0.7483314773547883,2.727636339397171
